Value,Count
21061119BI,4
211033MI,5
22011119TI,5
2201116SG,1
2201117SG,2
2201117SI,1
2201117TG,13
2201117TI,1
220233L2G,3
220233L2I,1
220333QAG,5
220333QBI,5
22071219CI,3
220733SFG,2
220743FI,1
22111317G,3
22120RN86G,11
22120RN86I,2
23021RAAEG,9
23028RN4DI,2
23028RNCAG,1
23053RN02A,3
23076RA4BC,3
23106RN0DA,1
AC2001,2
AE9010,6
AE9260,2
AE9310,1
AE9950,2
ANE-LX1,2
BE2013,1
CPH1803,1
CPH1853,1
CPH1859,2
CPH1909,5
CPH1923,6
CPH1933,3
CPH1969,3
CPH2001,1
CPH2015,4
CPH2061,1
CPH2083,4
CPH2099,1
CPH2137,1
CPH2179,1
CPH2185,2
CPH2219,2
CPH2239,3
CPH2269,3
CPH2285,2
CPH2349,2
CPH2381,1
CPH2387,1
CPH2399,1
CPH2423,3
CPH2467,2
CPH2469,1
CPH2477,1
CPH2487,1
CPH2565,2
DUB-LX2,1
GIONEE X1,2
IV2201,1
Infinix X6512,1
Infinix X6517,1
Infinix X657B,2
Infinix X665B,6
Infinix X669C,2
Infinix X6816,1
Infinix X688B,2
JLN-LX1,1
LAVA LH9950,1
LE9920_P,3
LM-G900N,1
Lenovo K11,2
M2003J15SC,6
M2004J19C,6
M2004J19PI,5
M2006C3LG,4
M2006C3LI,3
M2006C3LII,3
M2006C3MG,9
M2006C3MI,1
M2006C3MII,2
M2010J19CI,1
M2010J19SI,3
M2101K6G,2
M2101K6P,1
M2101K7AG,1
M2101K7AI,1
M2101K7BG,3
M2101K7BI,3
M2102J20SG,1
M2102J20SI,1
M2103K19I,1
M2104K10I,1
Micromax C1A,2
Nokia G10,1
ONEPLUS A6003,1
ONEPLUS A6010,1
POCO X5 Pro 5G,1
RKY-LX2,1
RMX1911,1
RMX2020,2
RMX2103,1
RMX2151,1
RMX2170,1
RMX2189,1
RMX2195,2
RMX3085,2
RMX3151,1
RMX3231,17
RMX3241,1
RMX3261,1
RMX3286,5
RMX3381,1
RMX3430,2
RMX3511,2
RMX3521,1
RMX3581,4
RMX3624,2
RMX3630,1
RMX3690,4
RMX3710,5
RMX3741,1
RMX3761,1
RMX3762,5
RMX3830,1
RNE-L22,1
Redmi 12C,1
Redmi 6,1
Redmi 6A,7
Redmi 7,6
Redmi 8,1
Redmi 8A,7
Redmi 8A Dual,1
Redmi K20 Pro,4
Redmi Note 11,1
Redmi Note 11E,1
Redmi Note 4,15
Redmi Note 5,1
Redmi Note 6 Pro,2
Redmi Note 7,2
Redmi Note 8,2
Redmi Note 8 Pro,4
Redmi Note 9 Pro,1
Redmi Note 9 Pro Max,2
Redmi Note 9S,1
Samsung Galaxy J7,1
Samsung Galaxy J7 Prime,8
Samsung Galaxy S10+,1
Samsung Galaxy S6,1
Samsung SM-A032F,5
Samsung SM-A037F,5
Samsung SM-A042F,6
Samsung SM-A045F,6
Samsung SM-A047F,4
Samsung SM-A105F,4
Samsung SM-A105FN,1
Samsung SM-A107F,13
Samsung SM-A125F,1
Samsung SM-A135F,4
Samsung SM-A146B,3
Samsung SM-A205F,1
Samsung SM-A207F,7
Samsung SM-A235F,9
Samsung SM-A245F,12
Samsung SM-A260G,5
Samsung SM-A305F,2
Samsung SM-A307FN,2
Samsung SM-A315N,1
Samsung SM-A325F,6
Samsung SM-A336E,1
Samsung SM-A346E,2
Samsung SM-A505F,2
Samsung SM-A507FN,5
Samsung SM-A515F,1
Samsung SM-A525F,1
Samsung SM-A536E,1
Samsung SM-A600G,7
Samsung SM-A605K,1
Samsung SM-A715F,3
Samsung SM-C900F,18
Samsung SM-E225F,30
Samsung SM-G600FY,8
Samsung SM-G990B2,1
Samsung SM-G990E,1
Samsung SM-G991B,1
Samsung SM-G998B,2
Samsung SM-J210F,1
Samsung SM-J415F,3
Samsung SM-J610F,1
Samsung SM-J701F,5
Samsung SM-M013F,2
Samsung SM-M017F,14
Samsung SM-M022G,24
Samsung SM-M025F,6
Samsung SM-M105F,2
Samsung SM-M127G,6
Samsung SM-M146B,1
Samsung SM-M205F,5
Samsung SM-M215F,4
Samsung SM-M315F,5
Samsung SM-M325F,5
Samsung SM-M336BU,2
Samsung SM-M515F,1
Samsung SM-M625F,1
Samsung SM-N900,1
Samsung SM-T220,2
T767H,1
TA-1021,1
TECNO CK7n,1
TECNO KC1j,2
TECNO KE5,1
TECNO KE5k,2
TECNO KG6k,1
TECNO LF7,1
Unknown,2377
V2026,1
V2027,2
V2043,3
V2058,1
V2111,1
V2118,12
V2120,1
V2154,2
V2221,1
V2247,2
V2322,1
iPad,2
iPhone,483
iris65,1
itel A662LM,1
itel L6006,4
itel L6502,1
itel S661L,1
itel S661LP,7
moto g54 5G,2
vivo 1611,1
vivo 1814,1
vivo 1820,6
vivo 1851,2
vivo 1904,4
vivo 1906,2
vivo 1907,2
vivo 1908,1
vivo 1920,1
vivo 1933,1
vivo 1938,1
vivo 2015,1
