Value,Count
10.9.9,9
102.0.0.0,1
103.0.0.0,5
105.0.5195.136,1
106.0.0.0,21
108.0.0.0,4
109.0.0.0,32
111.0.0.0,6
111.0.5563.116,1
112.0.0.0,3
114.0.0.0,1
114.0.5735.196,4
115.0.0.0,9
116.0.0.0,5
117.0.0.0,13
118.0.0.0,10
119.0.0.0,47
12.1.2,9
12.4.3,5
120.0.0.0,714
120.0.6099.101,5
120.0.6099.119,8
120.0.6099.210,1
120.0.6099.230,6
120.0.6099.231,9
120.0.6099.279,2
120.0.6099.43,1
121.0,3
121.0.0.0,1367
121.0.6167.138,26
121.0.6167.178,3
122.0,2
122.0.0.0,26
123.0,2
13.13.1,1
13.14.2,1
13.25.2.2,2
13.6.2,6
14.1.1,4
14.1.2,1
14.2.0,3
15.5,1
15.6.1,1
15.6.6,127
16.0,2
16.1,6
16.2,4
16.3,2
16.5.1,1
16.6,15
17.0,2
17.0.1,14
17.1,2
17.1.1,4
17.1.2,2
17.2,109
17.2.1,12
17.3,12
17.3.1,2
18.0,1
19.0,2
21.0,2
23.0,83
24.0,1
294.0.588955078,1
300.0.598994205,10
301.0.601872660,8
303.0.605094169,1
307.2.0.54.116,1
315.0.0.29.109,11
315.1.2.21.112,2
316.0.0.24.109,1
316.1.8.22.112,2
317.0.4.27.109,1
328.2.0.18.118,1
388.0.0.13.119,2
389.0.0.10.118,2
390.0.0.8.116,6
391.0.0.11.115,24
392.0.0.13.114,17
394.0.0.11.107,4
403.1.0.17.106,2
414.0.0.25.57,2
420.0.0.15.50,1
422.0.0.18.107,1
423.0.0.25.113,1
435.0.0.32.108,1
436.0.0.45.111,2
437.0.0.26.230,2
437.0.1.29.232,2
438.1.0.31.114,1
439.0.0.28.117,1
439.0.0.29.119,5
440.0.0.28.352,5
440.0.0.30.352,8
441.0.0.13.112,10
441.0.0.23.113,87
442.0.0.25.115,253
442.0.0.27.114,1
442.1.0.33.114,25
443.0.0.28.117,11
443.0.0.43.117,96
444.0.0.26.109,1
444.1.0.49.109,12
445.0.0.41.109,11
446.0.0.44.109,6
449.0.0.44.115,1
604.1,92
7.2,3
7.4,5
74.0.3729.136,2
77.0.2254.69831,4
78.0.3904.96,16
80.0.3987.99,6
80.2.4244.77484,2
86.0.4240.110,3
87.0.4280.101,2
87.0.4280.141,14
87.0.4280.163,1
91.0.4472.88,17
93.0.4577.107,1
94.0.4606.81,1
95.0.4638.74,1
98.0.4758.101,7
99.0.4844.58,1
