Value,Count
Chrome,6745
DuckDuckGo,3
Facebook,2280
Firefox,23
Google Search App,47
Huawei Browser,3
Instagram,69
Microsoft Edge,180
Miui Browser,123
Opera,73
Safari,749
Samsung Browser,239
UCBrowser,1
