File	Human	VGPT1	VGPT2	VOGPT1	VOGPT2	PGPT1	PGPT2	POS1	VOS1	POS2	VOS2
Phase1	1827	661	652	0	0	1506	1212	1071	0	0	0
Phase2	328	491	408	106	77	1068	1080	48	0	0	0
