Value,Phase1,Phase2,Total
Chrome,4400,2345.0,0
DuckDuckGo,3,,0
Facebook,1675,605.0,0
Firefox,16,7.0,0
Google Search App,27,20.0,0
Huawei Browser,3,,0
Instagram,52,17.0,0
Microsoft Edge,138,42.0,0
Miui Browser,92,31.0,0
Opera,51,22.0,0
Safari,332,417.0,0
Samsung Browser,139,100.0,0
UCBrowser,1,,0
