Value,Phase1,Phase2,Total
Android,5214.0,2485,0
Generic Linux,38.0,18,0
Windows,1039.0,554,0
iOS (iPad),7.0,2,0
iOS (iPhone),562.0,483,0
macOS,69.0,60,0
Chrome OS,,4,0
